"Forfatter-Escritor","Land-País","Tittel1-Título","1","Sjanger-Género","Oversetter-Traductor","Tittel2-Título","Utgivelsessted-Lugar de publicación","Utgivelsesår2-Año de publicación","Forlag-Editorial","For- eller Etterord-Prólogo o Epílogo","Språk-Idioma"
"Gil de Biedma, Jaime (1929-1990)","España","""De ahora en adelante"", en/i García Hortelano, Juan (1978). El Grupo poético de los años 50 : una antología. Barcelona: Taurus","","Lyrikk/Poesía","Sletsjøe, Leif","""Fra nå av"", en/i Spansk lyre","Oslo","1982","H. Ascheoug & CO. (W.Nygaard)","","Norsk bokmål/Noruego"
"Gil de Biedma, Jaime (1929-1990)","España","""Contra Jaime Gil de Biedma"", en/i García Hortelano, Juan (1978). El Grupo poético de los años 50 : una antología. Barcelona: Taurus","","Lyrikk/Poesía","Sletsjøe, Leif","""Mot Jaime Gil de Biedma"", en/i Spansk lyre","Oslo","1982","H. Ascheoug & CO. (W.Nygaard)","","Norsk bokmål/Noruego"
"Duque, Aquilino (1931)","España","""Las insatisfacciones""","","Lyrikk/Poesía","Sletsjøe, Leif","""Sinnets stadige uro"", en/i Spansk lyre","Oslo","1982","H. Ascheoug & CO. (W.Nygaard)","","Norsk bokmål/Noruego"
"Duque, Aquilino (1931)","España","""Los viajes del sueño""","","Lyrikk/Poesía","Sletsjøe, Leif","""Reiser i søvnens rike"", en/i Spansk lyre","Oslo","1982","H. Ascheoug & CO. (W.Nygaard)","","Norsk bokmål/Noruego"
"Brines, Francisco (1932)","España","""Oyendo el humo"", en/i García Hortelano, Juan (1978). El Grupo poético de los años 50 : una antología. Barcelona: Taurus","","Lyrikk/Poesía","Sletsjøe, Leif","""Jeg hører røken"", en/i Spansk lyre","Oslo","1982","H. Ascheoug & CO. (W.Nygaard)","","Norsk bokmål/Noruego"
"Brines, Francisco (1932)","España","""Madrigal con epigrama"", en/i García Hortelano, Juan (1978). El Grupo poético de los años 50 : una antología. Barcelona: Taurus","","Lyrikk/Poesía","Sletsjøe, Leif","""Madrigal med epigram"", en/i Spansk lyre","Oslo","1982","H. Ascheoug & CO. (W.Nygaard)","","Norsk bokmål/Noruego"
"Brines, Francisco (1932)","España","""Otro vivir"", en/i García Hortelano, Juan (1978). El Grupo poético de los años 50 : una antología. Barcelona: Taurus","","Lyrikk/Poesía","Sletsjøe, Leif","""Et annet liv"", en/i Spansk lyre","Oslo","1982","H. Ascheoug & CO. (W.Nygaard)","","Norsk bokmål/Noruego"
"Rodríguez, Claudio (1934-1999)","España","""Cielo"", en/i García Hortelano, Juan (1978). El Grupo poético de los años 50 : una antología. Barcelona: Taurus","","Lyrikk/Poesía","Sletsjøe, Leif","""Himmel"", en/i Spansk lyre","Oslo","1982","H. Ascheoug & CO. (W.Nygaard)","","Norsk bokmål/Noruego"
"Rodríguez, Claudio (1934-1999)","España","""Oda a la niñez"", en/i García Hortelano, Juan (1978). El Grupo poético de los años 50 : una antología. Barcelona: Taurus","","Lyrikk/Poesía","Sletsjøe, Leif","""Ode til barndommen"", en/i Spansk lyre","Oslo","1982","H. Ascheoug & CO. (W.Nygaard)","","Norsk bokmål/Noruego"
"Lacaci, María Elvira (1928-1997)","España","""Ropa tendida"", en/i Sainz de Robles, Federico Carlos (1967). Historia y antología de la poesía española (en lengua castellana). Tomo 2. Madrid: Aguilar","","Lyrikk/Poesía","Sletsjøe, Leif","""Tøy til tørk"", en/i Spansk lyre","Oslo","1982","H. Ascheoug & CO. (W.Nygaard)","","Norsk bokmål/Noruego"
"Colinas, Antonio (1946)","España","""En lo oscuro""","","Lyrikk/Poesía","Sletsjøe, Leif","""I alt det mørke"", en/i Spansk lyre","Oslo","1982","H. Ascheoug & CO. (W.Nygaard)","","Norsk bokmål/Noruego"
"Colinas, Antonio (1946)","España","""Para Clara""","","Lyrikk/Poesía","Sletsjøe, Leif","""Til Clara"", en/i Spansk lyre","Oslo","1982","H. Ascheoug & CO. (W.Nygaard)","","Norsk bokmål/Noruego"
"Colinas, Antonio (1946)","España","""Dones y negaciones de las noches""","","Lyrikk/Poesía","Sletsjøe, Leif","""Nettenes gaver - o hva de ikke gir oss"", en/i Spansk lyre","Oslo","1982","H. Ascheoug & CO. (W.Nygaard)","","Norsk bokmål/Noruego"
"Carnero, Guillermo (1947)","España","""Puisque réalisme il y a""","","Lyrikk/Poesía","Sletsjøe, Leif","""Puisque réalisme il y a"", en/i Spansk lyre","Oslo","1982","H. Ascheoug & CO. (W.Nygaard)","","Norsk bokmål/Noruego"
"Carnero, Guillermo (1947)","España","""Mira el breve minuto de la rosa""","","Lyrikk/Poesía","Sletsjøe, Leif","""Se rosens korte minutt"", en/i Spansk lyre","Oslo","1982","H. Ascheoug & CO. (W.Nygaard)","","Norsk bokmål/Noruego"
"Carnero, Guillermo (1947)","España","""Ostende""","","Lyrikk/Poesía","Sletsjøe, Leif","""I en badeby (Ostende), en/i Spansk lyre","Oslo","1982","H. Ascheoug & CO. (W.Nygaard)","","Norsk bokmål/Noruego"
"Mistral, Gabriela (1889-1957)","Chile","""Pan"", en/i Tala","1938","Lyrikk/Poesía","Hansen, Inger Elisabeth - Tove Bakke","""Brødet"", en/i Latitudes extremas/Ytterkanter","Madrid","2003","Tabla Rasa Libros y Ediciones SL","","Norsk bokmål/Noruego"
"Mistral, Gabriela (1889-1957)","Chile","""Agua"", en/i Tala","1938","Lyrikk/Poesía","Hansen, Inger Elisabeth - Tove Bakke","""Vatn"", en/i Latitudes extremas/Ytterkanter","Madrid","2003","Tabla Rasa Libros y Ediciones SL","","Norsk bokmål/Noruego"
"Mistral, Gabriela (1889-1957)","Chile","""El aire"", en/i Tala","1938","Lyrikk/Poesía","Hansen, Inger Elisabeth - Tove Bakke","""Vinden"", en/i Latitudes extremas/Ytterkanter","Madrid","2003","Tabla Rasa Libros y Ediciones SL","","Norsk bokmål/Noruego"
"Mistral, Gabriela (1889-1957)","Chile","""Cordillera"", en/i Tala","1938","Lyrikk/Poesía","Hansen, Inger Elisabeth - Tove Bakke","""Andesfjell"", en/i Latitudes extremas/Ytterkanter","Madrid","2003","Tabla Rasa Libros y Ediciones SL","","Norsk bokmål/Noruego"
"Mistral, Gabriela (1889-1957)","Chile","""Todas íbamos a ser reinas"", en/i Tala","1938","Lyrikk/Poesía","Hansen, Inger Elisabeth - Tove Bakke","""Alle skulle bli dronning"", en/i Latitudes extremas/Ytterkanter","Madrid","2003","Tabla Rasa Libros y Ediciones SL","","Norsk bokmål/Noruego"
"Zondek, Verónica (1953)","Chile","""cuando el hombre cuando el silencio cuando en el valle la luna (I)"", en/i El libro de los valles","2003","Lyrikk/Poesía","Hansen, Inger Elisabeth - Tove Bakke","""når mrnnesket når stillheten når i dalen månen (I), en/i Latitudes extremas/Ytterkanter","Madrid","2003","Tabla Rasa Libros y Ediciones SL","","Norsk bokmål/Noruego"
"Zondek, Verónica (1953)","Chile","""Camélido"", en/i Por gracia de hombre","2008","Lyrikk/Poesía","Hansen, Inger Elisabeth - Tove Bakke","""Det koster"", en/i Latitudes extremas/Ytterkanter","Madrid","2003","Tabla Rasa Libros y Ediciones SL","","Norsk bokmål/Noruego"
"Zondek, Verónica (1953)","Chile","""Intemperie""","","Lyrikk/Poesía","Hansen, Inger Elisabeth - Tove Bakke","""Utsatt"", en/i Latitudes extremas/Ytterkanter","Madrid","2003","Tabla Rasa Libros y Ediciones SL","","Norsk bokmål/Noruego"
"Zondek, Verónica (1953)","Chile","""Fuego""","","Lyrikk/Poesía","Hansen, Inger Elisabeth - Tove Bakke","""Ild"", en/i Latitudes extremas/Ytterkanter","Madrid","2003","Tabla Rasa Libros y Ediciones SL","","Norsk bokmål/Noruego"
"Zondek, Verónica (1953)","Chile","""La hilandera"", en/i Entre lagartas","1999","Lyrikk/Poesía","Hansen, Inger Elisabeth - Tove Bakke","""Spinnersken"", en/i Latitudes extremas/Ytterkanter","Madrid","2003","Tabla Rasa Libros y Ediciones SL","","Norsk bokmål/Noruego"
"Figueroa, Damsi (1976)","Chile","""Estatuas vendadas""","","Lyrikk/Poesía","Hansen, Inger Elisabeth - Tove Bakke","""Tilslørte statuer"", en/i Latitudes extremas/Ytterkanter","Madrid","2003","Tabla Rasa Libros y Ediciones SL","","Norsk bokmål/Noruego"
"Figueroa, Damsi (1976)","Chile","""La piedra""","","Lyrikk/Poesía","Hansen, Inger Elisabeth - Tove Bakke","""Steinen"", en/i Latitudes extremas/Ytterkanter","Madrid","2003","Tabla Rasa Libros y Ediciones SL","","Norsk bokmål/Noruego"
"Figueroa, Damsi (1976)","Chile","""El último""","","Lyrikk/Poesía","Hansen, Inger Elisabeth - Tove Bakke","""Den siste"", en/i Latitudes extremas/Ytterkanter","Madrid","2003","Tabla Rasa Libros y Ediciones SL","","Norsk bokmål/Noruego"
"Figueroa, Damsi (1976)","Chile","""Execración de la luz""","","Lyrikk/Poesía","Hansen, Inger Elisabeth - Tove Bakke","""Utdrivelse av lyset"", en/i Latitudes extremas/Ytterkanter","Madrid","2003","Tabla Rasa Libros y Ediciones SL","","Norsk bokmål/Noruego"
"Figueroa, Damsi (1976)","Chile","""Convite""","","Lyrikk/Poesía","Hansen, Inger Elisabeth - Tove Bakke","""Innbydelse"", en/i Latitudes extremas/Ytterkanter","Madrid","2003","Tabla Rasa Libros y Ediciones SL","","Norsk bokmål/Noruego"
"Hernández, Elvira (1951)","Chile","""Empresa de Demoliciones TIEMPO""","","Lyrikk/Poesía","Hansen, Inger Elisabeth - Tove Bakke","""Rivningsbyrået TID"", en/i Latitudes extremas/Ytterkanter","Madrid","2003","Tabla Rasa Libros y Ediciones SL","","Norsk bokmål/Noruego"
"Hernández, Elvira (1951)","Chile","""M…………..""","","Lyrikk/Poesía","Hansen, Inger Elisabeth - Tove Bakke","""M…………."", en/i Latitudes extremas/Ytterkanter","Madrid","2003","Tabla Rasa Libros y Ediciones SL","","Norsk bokmål/Noruego"
"Hernández, Elvira (1951)","Chile","""Violación del futuro""","","Lyrikk/Poesía","Hansen, Inger Elisabeth - Tove Bakke","""Voldtek av framtiden"", en/i Latitudes extremas/Ytterkanter","Madrid","2003","Tabla Rasa Libros y Ediciones SL","","Norsk bokmål/Noruego"
"Hernández, Elvira (1951)","Chile","""Hojas quemadas""","","Lyrikk/Poesía","Hansen, Inger Elisabeth - Tove Bakke","""Brente Blader"", en/i Latitudes extremas/Ytterkanter","Madrid","2003","Tabla Rasa Libros y Ediciones SL","","Norsk bokmål/Noruego"
"Hernández, Elvira (1951)","Chile","""Maceta""","","Lyrikk/Poesía","Hansen, Inger Elisabeth - Tove Bakke","""Potte"", en/i Latitudes extremas/Ytterkanter","Madrid","2003","Tabla Rasa Libros y Ediciones SL","","Norsk bokmål/Noruego"
"Domínguez, Alexandra (1956)","Chile","""El poeta es un asunto allí en lo invisible""","","Lyrikk/Poesía","Hansen, Inger Elisabeth - Tove Bakke","""Poeten er en sak der borte i det usynlige"", en/i Latitudes extremas/Ytterkanter","Madrid","2003","Tabla Rasa Libros y Ediciones SL","","Norsk bokmål/Noruego"
"Domínguez, Alexandra (1956)","Chile","""El loro de Flaubert dice éste no es un poema de Keats""","","Lyrikk/Poesía","Hansen, Inger Elisabeth - Tove Bakke","""Papegøyen til Flaubert sier at dette ikke er et dikt av Keats"", en/i Latitudes extremas/Ytterkanter","Madrid","2003","Tabla Rasa Libros y Ediciones SL","","Norsk bokmål/Noruego"
"Domínguez, Alexandra (1956)","Chile","""Volver a los dicisiete""","","Lyrikk/Poesía","Hansen, Inger Elisabeth - Tove Bakke","""Å bli søtten igjen"", en/i Latitudes extremas/Ytterkanter","Madrid","2003","Tabla Rasa Libros y Ediciones SL","","Norsk bokmål/Noruego"
"Domínguez, Alexandra (1956)","Chile","""Mi amigo Eliot tuvo un sueño""","","Lyrikk/Poesía","Hansen, Inger Elisabeth - Tove Bakke","""Min venn Eliot hadde en drøm"", en/i Latitudes extremas/Ytterkanter","Madrid","2003","Tabla Rasa Libros y Ediciones SL","","Norsk bokmål/Noruego"
"Domínguez, Alexandra (1956)","Chile","""Balada para el padre de Marianne Moore""","","Lyrikk/Poesía","Hansen, Inger Elisabeth - Tove Bakke","""Ballade for faren til Marianne Moore"", en/i Latitudes extremas/Ytterkanter","Madrid","2003","Tabla Rasa Libros y Ediciones SL","","Norsk bokmål/Noruego"
"Medina, Violeta (1968)","Chile","""Había una vez""","","Lyrikk/Poesía","Hansen, Inger Elisabeth - Tove Bakke","""Det var en gang"", en/i Latitudes extremas/Ytterkanter","Madrid","2003","Tabla Rasa Libros y Ediciones SL","","Norsk bokmål/Noruego"
"Medina, Violeta (1968)","Chile","""Designios""","","Lyrikk/Poesía","Hansen, Inger Elisabeth - Tove Bakke","""Hensikter"", en/i Latitudes extremas/Ytterkanter","Madrid","2003","Tabla Rasa Libros y Ediciones SL","","Norsk bokmål/Noruego"
"Medina, Violeta (1968)","Chile","""Consejos de un rampante""","","Lyrikk/Poesía","Hansen, Inger Elisabeth - Tove Bakke","""Råd fra en steilende"", en/i Latitudes extremas/Ytterkanter","Madrid","2003","Tabla Rasa Libros y Ediciones SL","","Norsk bokmål/Noruego"
"Medina, Violeta (1968)","Chile","""gran Triste""","","Lyrikk/Poesía","Hansen, Inger Elisabeth - Tove Bakke","""store Trist"", en/i Latitudes extremas/Ytterkanter","Madrid","2003","Tabla Rasa Libros y Ediciones SL","","Norsk bokmål/Noruego"
"Medina, Violeta (1968)","Chile","""Starosta""","","Lyrikk/Poesía","Hansen, Inger Elisabeth - Tove Bakke","""Starosta"", en/i Latitudes extremas/Ytterkanter","Madrid","2003","Tabla Rasa Libros y Ediciones SL","","Norsk bokmål/Noruego"
"Boscán, Juan (1495-1542)","España","""Como después del tempestuoso día"", en/i Perry, Janet H. (ed)(1977). The Harrap anthology of Spanish poetry. London: G.G. Harrap","","Lyrikk/Poesía","Näumann, Kari","""Som når en aftenstund blir mild og klar"", en/i Spansk gullalder. Renessanse- og Barokk- diktning","Oslo","1993","Den norske lyrikklubben"," Hansen, Inger Elisabeth - Rosamaría Paasche (Forord)","Norsk bokmål/Noruego"
"Vega, Garcilaso de la (1498/1503-1536)","España","""En tanto que de rosa y azucena"", en/i Sainz de Robles, Federico Carlos (1967). Historia y antología de la poesía española (en lengua castellana). Tomo 1. Madrid: Aguilar","","Lyrikk/Poesía","Näumann, Kari","""Mens ennå rosen rød og liljen skjær"", en/i Spansk gullalder. Renessanse- og Barokk- diktning","Oslo","1993","Den norske lyrikklubben"," Hansen, Inger Elisabeth - Rosamaría Paasche (Forord)","Norsk bokmål/Noruego"
"Vega, Garcilaso de la (1498/1503-1536)","España","""Estoy continuo en lágrimas bañado"", en/i Sainz de Robles, Federico Carlos (1967). Historia y antología de la poesía española (en lengua castellana). Tomo 1. Madrid: Aguilar","","Lyrikk/Poesía","Näumann, Kari","""Jeg bader meg i tårer dag og natt"", en/i Spansk gullalder. Renessanse- og Barokk- diktning","Oslo","1993","Den norske lyrikklubben"," Hansen, Inger Elisabeth - Rosamaría Paasche (Forord)","Norsk bokmål/Noruego"
"Vega, Garcilaso de la (1498/1503-1536)","España","""Égloga tercera"", en/i Sainz de Robles, Federico Carlos (1967). Historia y antología de la poesía española (en lengua castellana). Tomo 1. Madrid: Aguilar","","Lyrikk/Poesía","Näumann, Kari","""Tredje hyrdedikt"", en/i Spansk gullalder. Renessanse- og Barokk- diktning","Oslo","1993","Den norske lyrikklubben"," Hansen, Inger Elisabeth - Rosamaría Paasche (Forord)","Norsk bokmål/Noruego"
"Jesús, Teresa de (1515-1582)","España","""Corazón feliz"", en/i Teresa de Jesúa (1951). Obras completas. Tomo 1. Madrid: Aguilar","","Lyrikk/Poesía","Näumann, Kari","""Det lykksalige hjerte"", en/i Spansk gullalder. Renessanse- og Barokk- diktning","Oslo","1993","Den norske lyrikklubben"," Hansen, Inger Elisabeth - Rosamaría Paasche (Forord)","Norsk bokmål/Noruego"
"Jesús, Teresa de (1515-1582)","España","""Pues nos dais vestido nuevo"", en/i Teresa de Jesúa (1951). Obras completas. Tomo 1. Madrid: Aguilar","","Lyrikk/Poesía","Näumann, Kari","""Du som gir oss ny drakt"", en/i Spansk gullalder. Renessanse- og Barokk- diktning","Oslo","1993","Den norske lyrikklubben"," Hansen, Inger Elisabeth - Rosamaría Paasche (Forord)","Norsk bokmål/Noruego"
"Acuña, Hernando de (1502-1580)","España","""Soneto al rey nuestro señor"", en/i Díaz-Plaja, Guillermo (1969). Antología mayor de la literatura española. Tomo 1. Madrid: Labor","","Lyrikk/Poesía","Näumann, Kari","""Sonette til vår herre konge"", en/i Spansk gullalder. Renessanse- og Barokk- diktning","Oslo","1993","Den norske lyrikklubben"," Hansen, Inger Elisabeth - Rosamaría Paasche (Forord)","Norsk bokmål/Noruego"
"León, Fray Luis de (1527-1591)","España","""En la Ascención"", en/i Fray Luis de León (1983). Poesías. Madrid: Cátedra","","Lyrikk/Poesía","Näumann, Kari","""Ved oppstigningen til himmelen"", en/i Spansk gullalder. Renessanse- og Barokk- diktning","Oslo","1993","Den norske lyrikklubben"," Hansen, Inger Elisabeth - Rosamaría Paasche (Forord)","Norsk bokmål/Noruego"
"León, Fray Luis de (1527-1591)","España","""A la salida de la cárcel"", en/i Fray Luis de León (1983). Poesías. Madrid: Cátedra","","Lyrikk/Poesía","Näumann, Kari","""Ved løslatelsen fra fengselet"", en/i Spansk gullalder. Renessanse- og Barokk- diktning","Oslo","1993","Den norske lyrikklubben"," Hansen, Inger Elisabeth - Rosamaría Paasche (Forord)","Norsk bokmål/Noruego"
"Alcázar, Baltasar del (1530-1606)","España","""Tres cosas"", en/i Perry, Janet H. (ed)(1977). The Harrap anthology of Spanish poetry. London: G.G. Harrap","","Lyrikk/Poesía","Näumann, Kari","""De tre ting"", en/i Spansk gullalder. Renessanse- og Barokk- diktning","Oslo","1993","Den norske lyrikklubben"," Hansen, Inger Elisabeth - Rosamaría Paasche (Forord)","Norsk bokmål/Noruego"
"Alcázar, Baltasar del (1530-1606)","España","""La mujer celosa"", en/i Perry, Janet H. (ed)(1977). The Harrap anthology of Spanish poetry. London: G.G. Harrap","","Lyrikk/Poesía","Näumann, Kari","""Den sjalu hustru"", en/i Spansk gullalder. Renessanse- og Barokk- diktning","Oslo","1993","Den norske lyrikklubben"," Hansen, Inger Elisabeth - Rosamaría Paasche (Forord)","Norsk bokmål/Noruego"
"Herrera, Fernando de (1534-1599)","España","""A las ruinas de Itálica"", en/i Wardropper, Bruce W. (ed) (1983). Spanish poetry of the golden age. New York: Appleton-Century-Crofts","","Lyrikk/Poesía","Näumann, Kari","""Ved Romas ruiner"", en/i Spansk gullalder. Renessanse- og Barokk- diktning","Oslo","1993","Den norske lyrikklubben"," Hansen, Inger Elisabeth - Rosamaría Paasche (Forord)","Norsk bokmål/Noruego"
"Figueroa, Francisco de (1536-1620)","España","""Las musas en venta"", en/i Díaz-Plaja, Guillermo (1969). Antología mayor de la literatura española. Tomo 1. Madrid: Labor","","Lyrikk/Poesía","Näumann, Kari","""Muser til salgs"", en/i Spansk gullalder. Renessanse- og Barokk- diktning","Oslo","1993","Den norske lyrikklubben"," Hansen, Inger Elisabeth - Rosamaría Paasche (Forord)","Norsk bokmål/Noruego"
"Cruz, Juan de la (1542-1591)","España","""Cántico espiritual"", en/i Juan de la Cruz (1984). Cántico espiritual. Madrid: Cátedra","","Lyrikk/Poesía","Näumann, Kari","""Åndelig sang"", en/i Spansk gullalder. Renessanse- og Barokk- diktning","Oslo","1993","Den norske lyrikklubben"," Hansen, Inger Elisabeth - Rosamaría Paasche (Forord)","Norsk bokmål/Noruego"
"Cervantes, Miguel de (1547-1616)","España","""Los celos"", en/i Díaz-Plaja, Guillermo (1969). Antología mayor de la literatura española. Tomo 2. Madrid: Labor","","Lyrikk/Poesía","Näumann, Kari","""Sjalusi"", en/i Spansk gullalder. Renessanse- og Barokk- diktning","Oslo","1993","Den norske lyrikklubben"," Hansen, Inger Elisabeth - Rosamaría Paasche (Forord)","Norsk bokmål/Noruego"
"Góngora y Argote, Luis de (1561-1627)","España","""La más bella niña"", en/i Sainz de Robles, Federico Carlos (1967). Historia y antología de la poesía española (en lengua castellana). Tomo 1. Madrid: Aguilar","","Lyrikk/Poesía","Näumann, Kari","""Den vakreste piken"", en/i Spansk gullalder. Renessanse- og Barokk- diktning","Oslo","1993","Den norske lyrikklubben"," Hansen, Inger Elisabeth - Rosamaría Paasche (Forord)","Norsk bokmål/Noruego"
"Góngora y Argote, Luis de (1561-1627)","España","""Servía en Orán al rey"", en/i Sainz de Robles, Federico Carlos (1967). Historia y antología de la poesía española (en lengua castellana). Tomo 1. Madrid: Aguilar","","Lyrikk/Poesía","Näumann, Kari","""En spanjol son konge tjente"", en/i Spansk gullalder. Renessanse- og Barokk- diktning","Oslo","1993","Den norske lyrikklubben"," Hansen, Inger Elisabeth - Rosamaría Paasche (Forord)","Norsk bokmål/Noruego"
"Góngora y Argote, Luis de (1561-1627)","España","""Mientras por competir con tu cabello"", en/i Sainz de Robles, Federico Carlos (1967). Historia y antología de la poesía española (en lengua castellana). Tomo 1. Madrid: Aguilar","","Lyrikk/Poesía","Näumann, Kari","""Mens gullet, for å kappes med ditt hår"", en/i Spansk gullalder. Renessanse- og Barokk- diktning","Oslo","1993","Den norske lyrikklubben"," Hansen, Inger Elisabeth - Rosamaría Paasche (Forord)","Norsk bokmål/Noruego"
"Góngora y Argote, Luis de (1561-1627)","España","""A una rosa"", en/i Sainz de Robles, Federico Carlos (1967). Historia y antología de la poesía española (en lengua castellana). Tomo 1. Madrid: Aguilar","","Lyrikk/Poesía","Näumann, Kari","""Til en rose"", en/i Spansk gullalder. Renessanse- og Barokk- diktning","Oslo","1993","Den norske lyrikklubben"," Hansen, Inger Elisabeth - Rosamaría Paasche (Forord)","Norsk bokmål/Noruego"
"Góngora y Argote, Luis de (1561-1627)","España","""A un arroyo"", en/i Sainz de Robles, Federico Carlos (1967). Historia y antología de la poesía española (en lengua castellana). Tomo 1. Madrid: Aguilar","","Lyrikk/Poesía","Näumann, Kari","""Til en bekk"", en/i Spansk gullalder. Renessanse- og Barokk- diktning","Oslo","1993","Den norske lyrikklubben"," Hansen, Inger Elisabeth - Rosamaría Paasche (Forord)","Norsk bokmål/Noruego"
"Góngora y Argote, Luis de (1561-1627)","España","""Cosas, Celalba mía, he visto extrañas"", en/i Sainz de Robles, Federico Carlos (1967). Historia y antología de la poesía española (en lengua castellana). Tomo 1. Madrid: Aguilar","","Lyrikk/Poesía","Näumann, Kari","""Celalba, verdener har jeg sett forgå"", en/i Spansk gullalder. Renessanse- og Barokk- diktning","Oslo","1993","Den norske lyrikklubben"," Hansen, Inger Elisabeth - Rosamaría Paasche (Forord)","Norsk bokmål/Noruego"
"Góngora y Argote, Luis de (1561-1627)","España","""La dulce boca que a gozar convida"", en/i Sainz de Robles, Federico Carlos (1967). Historia y antología de la poesía española (en lengua castellana). Tomo 1. Madrid: Aguilar","","Lyrikk/Poesía","Näumann, Kari","""Den søte munn som innbyr til å nyte"", en/i Spansk gullalder. Renessanse- og Barokk- diktning","Oslo","1993","Den norske lyrikklubben"," Hansen, Inger Elisabeth - Rosamaría Paasche (Forord)","Norsk bokmål/Noruego"
"Góngora y Argote, Luis de (1561-1627)","España","""Ande to caliente"", en/i Sainz de Robles, Federico Carlos (1967). Historia y antología de la poesía española (en lengua castellana). Tomo 1. Madrid: Aguilar","","Lyrikk/Poesía","Näumann, Kari","""la meg få gå i fred"", en/i Spansk gullalder. Renessanse- og Barokk- diktning","Oslo","1993","Den norske lyrikklubben"," Hansen, Inger Elisabeth - Rosamaría Paasche (Forord)","Norsk bokmål/Noruego"
"Góngora y Argote, Luis de (1561-1627)","España","""De un caminante enfermo que se enamoró donde fue hospedado"", en/i Sainz de Robles, Federico Carlos (1967). Historia y antología de la poesía española (en lengua castellana). Tomo 1. Madrid: Aguilar","","Lyrikk/Poesía","Näumann, Kari","""Om en syk vandrer som forelsket seg der han fant husly"", en/i Spansk gullalder. Renessanse- og Barokk- diktning","Oslo","1993","Den norske lyrikklubben"," Hansen, Inger Elisabeth - Rosamaría Paasche (Forord)","Norsk bokmål/Noruego"
"Góngora y Argote, Luis de (1561-1627)","España","""De la brevedad engañosa de la vida"", en/i Sainz de Robles, Federico Carlos (1967). Historia y antología de la poesía española (en lengua castellana). Tomo 1. Madrid: Aguilar","","Lyrikk/Poesía","Näumann, Kari","""Om livets bedragerske korthet"", en/i Spansk gullalder. Renessanse- og Barokk- diktning","Oslo","1993","Den norske lyrikklubben"," Hansen, Inger Elisabeth - Rosamaría Paasche (Forord)","Norsk bokmål/Noruego"
"Góngora y Argote, Luis de (1561-1627)","España","""En este occidental, en ste, oh Licio"", en/i Sainz de Robles, Federico Carlos (1967). Historia y antología de la poesía española (en lengua castellana). Tomo 1. Madrid: Aguilar","","Lyrikk/Poesía","Näumann, Kari","""I denne sene aften, Licius"", en/i Spansk gullalder. Renessanse- og Barokk- diktning","Oslo","1993","Den norske lyrikklubben"," Hansen, Inger Elisabeth - Rosamaría Paasche (Forord)","Norsk bokmål/Noruego"
"Góngora y Argote, Luis de (1561-1627)","España","""Al sepulcro de Dominico Greco, excelente pintor"", en/i Sainz de Robles, Federico Carlos (1967). Historia y antología de la poesía española (en lengua castellana). Tomo 1. Madrid: Aguilar","","Lyrikk/Poesía","Näumann, Kari","""Ved den store maler Domenico Grecos gravmæle"", en/i Spansk gullalder. Renessanse- og Barokk- diktning","Oslo","1993","Den norske lyrikklubben"," Hansen, Inger Elisabeth - Rosamaría Paasche (Forord)","Norsk bokmål/Noruego"
"Argensola, Bartolomé Leonardo de (1562-1631)","España","""Yo os quiero confesar, don Juan"", en/i Sainz de Robles, Federico Carlos (1967). Historia y antología de la poesía española (en lengua castellana). Tomo 1. Madrid: Aguilar","","Lyrikk/Poesía","Näumann, Kari","""Juan, det er en ting jeg må fortelle"", en/i Spansk gullalder. Renessanse- og Barokk- diktning","Oslo","1993","Den norske lyrikklubben"," Hansen, Inger Elisabeth - Rosamaría Paasche (Forord)","Norsk bokmål/Noruego"
"Argensola, Bartolomé Leonardo de (1562-1631)","España","""Aunque de godos ínclitos desciendas"", en/i Sainz de Robles, Federico Carlos (1967). Historia y antología de la poesía española (en lengua castellana). Tomo 1. Madrid: Aguilar","","Lyrikk/Poesía","Näumann, Kari","""Om du så nedstammer fra gotisk ætt"", en/i Spansk gullalder. Renessanse- og Barokk- diktning","Oslo","1993","Den norske lyrikklubben"," Hansen, Inger Elisabeth - Rosamaría Paasche (Forord)","Norsk bokmål/Noruego"
"Vega Carpio, Félix Lope de (1626-1635)","España","""Vireno, aquel mi manso regalado"", en/i Sainz de Robles, Federico Carlos (1967). Historia y antología de la poesía española (en lengua castellana). Tomo 1. Madrid: Aguilar","","Lyrikk/Poesía","Näumann, Kari","""Hør, bror Vireno, sauen min med bjelle"", en/i Spansk gullalder. Renessanse- og Barokk- diktning","Oslo","1993","Den norske lyrikklubben"," Hansen, Inger Elisabeth - Rosamaría Paasche (Forord)","Norsk bokmål/Noruego"
"Vega Carpio, Félix Lope de (1626-1635)","España","""Suelta mi manso, mayoral extraño"", en/i Sainz de Robles, Federico Carlos (1967). Historia y antología de la poesía española (en lengua castellana). Tomo 1. Madrid: Aguilar","","Lyrikk/Poesía","Näumann, Kari","""Slipp løs mitt dyr, den sauen du har tatt"", en/i Spansk gullalder. Renessanse- og Barokk- diktning","Oslo","1993","Den norske lyrikklubben"," Hansen, Inger Elisabeth - Rosamaría Paasche (Forord)","Norsk bokmål/Noruego"
